scenario,n_variables,median_abs_binary_prevalence_delta,p90_abs_binary_prevalence_delta,max_abs_binary_prevalence_delta,median_abs_numeric_smd,p90_abs_numeric_smd,max_abs_numeric_smd,median_ks_statistic,p90_ks_statistic,mean_abs_missing_rate_delta
hidden_confounder,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selection_bias,154,0.0014260778799036755,0.009008086636318833,0.20484165965960155,0.007973559589270414,0.03519375860858556,0.24551837731541315,0.001734654527530577,0.01055252399315725,0.0
no_overlap,154,0.0020714285714285713,0.006200000000000001,0.05535714285714283,0.017333819808380817,0.04656047172053793,0.10207653585886031,0.0023571428571428354,0.010078571428571445,0.0
noisy_documentation,154,0.0,0.006242857142857147,0.04928571428571428,0.0,0.0,0.0,0.0,0.005742857142857152,0.0
multihospital,154,0.0017857142857142794,0.007171428571428557,0.01885714285714285,0.0206836000942458,0.05793075576996919,0.0783276401861853,0.002357142857142891,0.011771428571428605,0.0
