hospital_id,n_train_patients,median_abs_binary_prevalence_delta_vs_others,p90_abs_binary_prevalence_delta_vs_others,median_abs_numeric_smd_vs_others,p90_abs_numeric_smd_vs_others,median_ks_statistic_vs_others,p90_ks_statistic_vs_others
1,3564,0.004073140587769433,0.01462497725433717,0.034488258375575724,0.08324639098623056,0.005008777782509799,0.01727649778307756
2,3496,0.006351072970349314,0.03866623328412757,0.08047492662091252,0.19434847853962475,0.008477537597097184,0.043300035205069545
3,3402,0.007757112336592743,0.0452111082376751,0.0906291999380986,0.22422739711012,0.00995742655070414,0.0587518648211441
4,3538,0.004737433565324949,0.016298950067103326,0.03988214339898559,0.08425787322411489,0.005616601209534944,0.025994222381054633
