run,epoch,loss,train_auprc,valid_auprc,valid_auc,best_epoch,gap_train_valid
11.08_S10_clean_seed20260721,58,0.2515,0.9419,0.8174,0.9322,58,0.12449999999999994
11.08_S10_clean_seed20260721,59,0.2512,0.9469,0.8274,0.9329,59,0.11949999999999994
11.08_S10_clean_seed20260721,60,0.2489,0.9486,0.8316,0.935,60,0.11699999999999999
11.08_S10_clean_seed20260721,61,0.2536,0.9494,0.8417,0.9356,61,0.10770000000000002
11.08_S10_clean_seed20260721,62,0.2429,0.9502,0.8449,0.936,62,0.10530000000000006
11.08_S10_clean_seed20260721,63,0.2306,0.951,0.8452,0.9364,63,0.1058
11.08_S10_clean_seed20260721,64,0.2604,0.9515,0.8451,0.9371,63,0.10640000000000005
11.08_S10_clean_seed20260721,65,0.2657,0.9527,0.8489,0.9376,65,0.1038
11.08_S10_clean_seed20260721,66,0.2561,0.9537,0.8492,0.9377,66,0.10450000000000004
11.08_S10_clean_seed20260721,67,0.246,0.9536,0.8483,0.9372,66,0.10529999999999995
11.08_S10_clean_seed20260721,68,0.2443,0.9535,0.8503,0.9387,68,0.10320000000000007
11.08_S10_clean_seed20260721,69,0.2279,0.954,0.8533,0.9395,69,0.10070000000000001
11.08_S10_clean_seed20260721,70,0.2185,0.9548,0.8556,0.9399,70,0.09919999999999995
11.08_S10_clean_seed20260721,71,0.2295,0.9555,0.8555,0.9395,70,0.09999999999999998
11.08_S10_clean_seed20260721,72,0.2452,0.9555,0.8564,0.9395,72,0.09909999999999997
11.08_S10_clean_seed20260721,73,0.2014,0.9564,0.8566,0.9399,73,0.0998
11.08_S10_clean_seed20260721,74,0.2264,0.9579,0.8572,0.9409,74,0.10070000000000001
11.08_S10_clean_seed20260721,75,0.22,0.9584,0.8584,0.9409,75,0.09999999999999998
11.08_S10_clean_seed20260721,76,0.2214,0.9584,0.8604,0.9419,76,0.09799999999999998
11.08_S10_clean_seed20260721,77,0.2185,0.959,0.8612,0.9419,77,0.0978
11.08_S10_clean_seed20260721,78,0.2231,0.9595,0.8655,0.9423,78,0.09399999999999997
11.08_S10_clean_seed20260721,79,0.2469,0.9596,0.8634,0.9419,78,0.09620000000000006
11.08_S10_clean_seed20260721,80,0.1997,0.9597,0.8639,0.9426,78,0.0958
11.08_S10_clean_seed20260721,81,0.2253,0.9603,0.8666,0.9433,81,0.0937
11.08_S10_clean_seed20260721,82,0.2208,0.9603,0.8675,0.9438,82,0.0928
11.08_S10_clean_seed20260721,83,0.1994,0.9606,0.8687,0.9447,83,0.09189999999999998
11.08_S10_clean_seed20260721,84,0.1981,0.9611,0.8686,0.9449,83,0.09249999999999992
11.08_S10_clean_seed20260721,85,0.2072,0.962,0.8683,0.9445,83,0.0937
11.08_S10_clean_seed20260721,86,0.2091,0.9622,0.8709,0.9444,86,0.09130000000000005
11.08_S10_clean_seed20260721,87,0.1932,0.9629,0.8715,0.9452,87,0.09139999999999993
11.08_S10_clean_seed20260721,88,0.1974,0.9633,0.8742,0.9458,88,0.08910000000000007
11.08_S10_clean_seed20260721,89,0.1897,0.9635,0.8742,0.9459,89,0.08930000000000005
11.08_S10_clean_seed20260721,90,0.194,0.9642,0.8723,0.9455,89,0.09189999999999998
11.08_S10_clean_seed20260721,91,0.1867,0.9643,0.8742,0.9458,89,0.09010000000000007
11.08_S10_clean_seed20260721,92,0.1968,0.9645,0.8748,0.9464,92,0.0897
11.08_S10_clean_seed20260721,93,0.192,0.9647,0.8765,0.9475,93,0.08820000000000006
11.08_S10_clean_seed20260721,94,0.1891,0.9651,0.8746,0.9475,93,0.09049999999999991
11.08_S10_clean_seed20260721,95,0.1969,0.9655,0.8737,0.9477,93,0.09179999999999999
11.08_S10_clean_seed20260721,96,0.2076,0.9653,0.8747,0.9478,93,0.09060000000000001
11.08_S10_clean_seed20260721,97,0.1901,0.9654,0.8753,0.948,93,0.09010000000000007
11.08_S10_clean_seed20260721,98,0.1934,0.9657,0.8738,0.948,93,0.09189999999999998
11.08_S10_clean_seed20260721,99,0.1818,0.9655,0.8722,0.9475,93,0.09330000000000005
11.08_S10_clean_seed20260721,100,0.18,0.9656,0.8723,0.9475,93,0.09330000000000005
11.08_S10_clean_seed20260721,101,0.1733,0.9658,0.8754,0.9473,93,0.09040000000000004
11.08_S10_clean_seed20260721,102,0.1763,0.9663,0.8756,0.9473,93,0.0907
11.08_S10_clean_seed20260721,103,0.18,0.9666,0.8768,0.9482,103,0.08979999999999999
11.08_S10_clean_seed20260721,104,0.1724,0.9668,0.8868,0.9496,104,0.07999999999999996
11.08_S10_clean_seed20260721,105,0.1669,0.9668,0.8887,0.9499,105,0.07809999999999995
11.08_S10_clean_seed20260721,106,0.1698,0.9666,0.8881,0.9499,105,0.07850000000000001
11.08_S10_clean_seed20260721,107,0.1662,0.967,0.8882,0.9499,105,0.07879999999999998
11.08_S10_clean_seed20260721,108,0.1764,0.9671,0.8877,0.9496,105,0.07939999999999992
11.08_S10_clean_seed20260721,109,0.1751,0.967,0.8869,0.9494,105,0.08009999999999995
11.08_S10_clean_seed20260721,110,0.1566,0.9667,0.8863,0.949,105,0.08040000000000003
11.08_S10_clean_seed20260721,111,0.1654,0.9668,0.8871,0.9493,105,0.0797
11.08_S10_clean_seed20260721,112,0.1689,0.9666,0.8863,0.9493,105,0.08030000000000004
11.08_S10_clean_seed20260721,113,0.1708,0.9671,0.8888,0.9505,113,0.07829999999999993
11.08_S10_clean_seed20260721,114,0.1592,0.9672,0.8895,0.9511,114,0.07769999999999999
11.08_S10_clean_seed20260721,115,0.1679,0.9677,0.8892,0.951,114,0.07850000000000001
11.08_S10_clean_seed20260721,116,0.1669,0.9679,0.8841,0.9502,114,0.08379999999999999
11.08_S10_clean_seed20260721,117,0.1618,0.9684,0.8859,0.9509,114,0.08250000000000002
11.08_S10_clean_seed20260721,118,0.1624,0.9692,0.8852,0.9505,114,0.08399999999999996
11.08_S10_clean_seed20260721,119,0.1619,0.9693,0.8874,0.951,114,0.08190000000000008
11.08_S10_clean_seed20260721,120,0.1595,0.969,0.8887,0.9511,114,0.08029999999999993
11.08_S10_clean_seed20260721,121,0.1592,0.9692,0.8893,0.9513,114,0.07989999999999997
11.08_S10_clean_seed20260721,122,0.1496,0.9693,0.891,0.9521,122,0.07830000000000004
11.08_S10_clean_seed20260721,123,0.1564,0.9688,0.8918,0.9523,123,0.07699999999999996
11.08_S10_clean_seed20260721,124,0.1605,0.9687,0.8927,0.9523,124,0.07599999999999996
11.08_S10_clean_seed20260721,125,0.1657,0.9694,0.8942,0.9524,125,0.07520000000000004
11.08_S10_clean_seed20260721,126,0.1651,0.9697,0.8946,0.9524,126,0.07510000000000006
11.08_S10_clean_seed20260721,127,0.1808,0.97,0.8954,0.9525,127,0.0746
11.08_S10_clean_seed20260721,128,0.1574,0.9701,0.8949,0.9524,127,0.07519999999999993
11.08_S10_clean_seed20260721,129,0.1599,0.971,0.8947,0.9523,127,0.07629999999999992
11.08_S10_clean_seed20260721,130,0.1554,0.9714,0.8947,0.9524,127,0.07669999999999999
11.08_S10_clean_seed20260721,131,0.1469,0.9721,0.8945,0.952,127,0.0776
11.08_S10_clean_seed20260721,132,0.1575,0.9733,0.8948,0.9523,127,0.07850000000000001
11.08_S10_clean_seed20260721,133,0.1578,0.974,0.8951,0.9525,127,0.07889999999999997
11.08_S10_clean_seed20260721,134,0.1433,0.9745,0.8944,0.9522,127,0.08010000000000006
11.08_S10_clean_seed20260721,135,0.1434,0.9751,0.8948,0.9524,127,0.08029999999999993
11.08_S10_clean_seed20260721,136,0.1577,0.9752,0.8942,0.952,127,0.08099999999999996
11.08_S10_clean_seed20260721,137,0.1496,0.9755,0.896,0.9523,137,0.07950000000000002
11.08_S10_clean_seed20260721,138,0.1506,0.9763,0.8973,0.9524,138,0.07899999999999996
11.08_S10_clean_seed20260721,139,0.1429,0.9765,0.8974,0.9524,139,0.07910000000000006
11.08_S10_clean_seed20260721,140,0.1519,0.9767,0.8963,0.9521,139,0.08040000000000003
11.08_S10_clean_seed20260721,141,0.152,0.9767,0.8962,0.9524,139,0.08050000000000002
11.08_S10_clean_seed20260721,142,0.1566,0.9769,0.8949,0.9526,139,0.08199999999999996
11.08_S10_clean_seed20260721,143,0.1534,0.9772,0.8979,0.9529,143,0.07929999999999993
11.08_S10_clean_seed20260721,144,0.1543,0.9774,0.899,0.9529,144,0.07840000000000003
11.08_S10_clean_seed20260721,145,0.1514,0.9776,0.9007,0.9533,145,0.07690000000000008
11.08_S10_clean_seed20260721,146,0.1477,0.9779,0.902,0.9537,146,0.07589999999999997
11.08_S10_clean_seed20260721,147,0.1428,0.9783,0.9025,0.9544,147,0.07579999999999998
11.08_S10_clean_seed20260721,148,0.1461,0.9786,0.9047,0.9547,148,0.07390000000000008
11.08_S10_clean_seed20260721,149,0.146,0.9788,0.9058,0.9549,149,0.07299999999999995
11.08_S10_clean_seed20260721,150,0.1478,0.9793,0.9076,0.9553,150,0.07169999999999999
11.08_S10_clean_seed20260721,151,0.1821,0.9796,0.9067,0.9548,150,0.07290000000000008
11.08_S10_clean_seed20260721,152,0.1583,0.9796,0.9078,0.9552,152,0.07179999999999997
11.08_S10_clean_seed20260721,153,0.1483,0.9797,0.9074,0.9552,152,0.07230000000000003
11.08_S10_clean_seed20260721,154,0.1486,0.9797,0.9064,0.9547,152,0.07330000000000003
11.08_S10_clean_seed20260721,155,0.1548,0.9792,0.9057,0.9543,152,0.07350000000000001
11.08_S10_clean_seed20260721,156,0.1536,0.9792,0.9073,0.9545,152,0.07189999999999996
11.08_S10_clean_seed20260721,157,0.1458,0.9794,0.9083,0.9549,157,0.07110000000000005
11.08_S10_clean_seed20260721,158,0.1366,0.9797,0.9086,0.9547,158,0.07110000000000005
11.08_S10_clean_seed20260721,159,0.1491,0.9801,0.9078,0.9539,158,0.07229999999999992
11.08_S10_clean_seed20260721,160,0.1347,0.9805,0.9087,0.9538,160,0.07180000000000009
11.08_S10_clean_seed20260721,161,0.1349,0.9807,0.9084,0.9536,160,0.07230000000000003
11.08_S10_clean_seed20260721,162,0.1438,0.9806,0.9097,0.9542,162,0.07090000000000007
11.08_S10_clean_seed20260721,163,0.1436,0.9805,0.9067,0.9535,162,0.07380000000000009
11.08_S10_clean_seed20260721,164,0.1389,0.9808,0.9073,0.9537,162,0.07350000000000001
11.08_S10_clean_seed20260721,165,0.1539,0.9812,0.9078,0.9535,162,0.07339999999999991
11.08_S10_clean_seed20260721,166,0.1402,0.9818,0.908,0.9534,162,0.07379999999999998
11.08_S10_clean_seed20260721,167,0.1514,0.9819,0.9087,0.9536,162,0.07320000000000004
11.08_S10_clean_seed20260721,168,0.1553,0.9819,0.9088,0.9538,162,0.07309999999999994
11.08_S10_clean_seed20260721,169,0.1446,0.9818,0.9109,0.9547,169,0.07089999999999996
11.08_S10_clean_seed20260721,170,0.1381,0.9817,0.9107,0.9546,169,0.07100000000000006
11.08_S10_clean_seed20260721,171,0.15,0.9814,0.9116,0.9549,171,0.06980000000000008
11.08_S10_clean_seed20260721,172,0.1421,0.9813,0.9129,0.955,172,0.0683999999999999
11.08_S10_clean_seed20260721,173,0.1494,0.9811,0.915,0.9555,173,0.06609999999999994
11.08_S10_clean_seed20260721,174,0.1497,0.981,0.9165,0.956,174,0.0645
11.08_S10_clean_seed20260721,175,0.142,0.9809,0.916,0.9563,174,0.06489999999999996
11.08_S10_clean_seed20260721,176,0.1402,0.981,0.9098,0.955,174,0.07119999999999993
11.08_S10_clean_seed20260721,177,0.1503,0.9813,0.906,0.9543,174,0.07529999999999992
11.08_S10_clean_seed20260721,178,0.1394,0.9812,0.9035,0.9542,174,0.07769999999999999
11.08_S10_clean_seed20260721,179,0.1322,0.9815,0.9027,0.9538,174,0.07880000000000009
11.08_S10_clean_seed20260721,180,0.1412,0.9818,0.9012,0.9535,174,0.0806
11.08_S10_clean_seed20260721,181,0.1244,0.9817,0.9008,0.9532,174,0.08089999999999997
11.08_S10_clean_seed20260721,182,0.1364,0.9822,0.8996,0.9527,174,0.0826
11.08_S10_clean_seed20260721,183,0.1381,0.9826,0.8999,0.9524,174,0.0827
11.08_S10_clean_seed20260721,184,0.1266,0.9828,0.8992,0.9521,174,0.08360000000000001
11.08_S10_clean_seed20260721,185,0.1305,0.9828,0.8994,0.9517,174,0.08340000000000003
11.08_S10_clean_seed20260721,186,0.1257,0.9825,0.8983,0.9512,174,0.08420000000000005
11.08_S10_clean_seed20260721,187,0.1376,0.9828,0.9002,0.9513,174,0.0826
11.08_S10_clean_seed20260721,188,0.1312,0.9836,0.9047,0.9518,174,0.07890000000000008
11.08_S10_clean_seed20260721,189,0.1193,0.9841,0.9076,0.9525,174,0.07650000000000001
11.08_S10_clean_seed20260721,190,0.1286,0.9841,0.9104,0.9527,174,0.07369999999999999
11.08_S10_clean_seed20260721,191,0.1226,0.9844,0.9119,0.9531,174,0.07250000000000001
11.08_S10_clean_seed20260721,192,0.1246,0.9845,0.9122,0.9531,174,0.07230000000000003
11.08_S10_clean_seed20260721,193,0.1188,0.9845,0.9124,0.9533,174,0.07210000000000005
11.08_S10_clean_seed20260721,194,0.1364,0.9849,0.9144,0.9539,174,0.07050000000000001
11.08_S10_clean_seed20260721,195,0.1347,0.9851,0.9148,0.9535,174,0.07030000000000003
11.08_S10_clean_seed20260721,196,0.126,0.9849,0.9148,0.9536,174,0.07010000000000005
11.08_S10_clean_seed20260721,197,0.1263,0.985,0.9149,0.9534,174,0.07009999999999994
11.08_S10_clean_seed20260721,198,0.1238,0.985,0.912,0.9525,174,0.07299999999999995
11.08_S10_clean_seed20260721,199,0.1339,0.985,0.9112,0.9523,174,0.07379999999999998
11.08_S10_clean_seed20260721,200,0.1225,0.9851,0.9105,0.9518,174,0.0746
11.08_S10_clean_seed20260722,1,1.055,0.4099,0.4692,0.7364,1,-0.05930000000000002
11.08_S10_clean_seed20260722,2,1.0235,0.5284,0.5603,0.7462,2,-0.03190000000000004
11.08_S10_clean_seed20260722,3,1.0092,0.5685,0.5709,0.7431,3,-0.0023999999999999577
11.08_S10_clean_seed20260722,4,0.9932,0.5828,0.544,0.7338,3,0.038799999999999946
11.08_S10_clean_seed20260722,5,0.965,0.5922,0.5278,0.7359,3,0.0643999999999999
11.08_S10_clean_seed20260722,6,0.9698,0.595,0.5351,0.7396,3,0.05989999999999995
11.08_S10_clean_seed20260722,7,0.9448,0.6024,0.5479,0.7448,3,0.05449999999999999
11.08_S10_clean_seed20260722,8,0.9241,0.6148,0.547,0.7516,3,0.06779999999999997
11.08_S10_clean_seed20260722,9,0.923,0.616,0.56,0.7653,3,0.05599999999999994
11.08_S10_clean_seed20260722,10,0.906,0.6171,0.5649,0.7745,3,0.052200000000000024
11.08_S10_clean_seed20260722,11,0.9108,0.6271,0.5696,0.7823,3,0.057499999999999996
11.08_S10_clean_seed20260722,12,0.8836,0.6366,0.5801,0.7959,12,0.056500000000000106
11.08_S10_clean_seed20260722,13,0.8848,0.6472,0.5974,0.813,13,0.049799999999999955
11.08_S10_clean_seed20260722,14,0.8661,0.6562,0.6105,0.8268,14,0.04569999999999996
11.08_S10_clean_seed20260722,15,0.8555,0.6596,0.6128,0.8325,15,0.04679999999999995
11.08_S10_clean_seed20260722,16,0.855,0.6679,0.6152,0.8404,16,0.05270000000000008
11.08_S10_clean_seed20260722,17,0.8295,0.6753,0.6246,0.8453,17,0.05069999999999997
11.08_S10_clean_seed20260722,18,0.8289,0.685,0.6264,0.8493,18,0.058600000000000096
11.08_S10_clean_seed20260722,19,0.8121,0.6943,0.6337,0.8526,19,0.06059999999999999
11.08_S10_clean_seed20260722,20,0.796,0.7054,0.6398,0.8543,20,0.06559999999999999
11.08_S10_clean_seed20260722,21,0.7777,0.7148,0.6413,0.8558,21,0.07350000000000001
11.08_S10_clean_seed20260722,22,0.7683,0.7267,0.6461,0.8606,22,0.0806
11.08_S10_clean_seed20260722,23,0.7761,0.7398,0.6548,0.865,23,0.08499999999999996
11.08_S10_clean_seed20260722,24,0.7356,0.751,0.6621,0.8687,24,0.08889999999999998
11.08_S10_clean_seed20260722,25,0.7229,0.7601,0.6724,0.8727,25,0.0877
11.08_S10_clean_seed20260722,26,0.7218,0.7701,0.6785,0.8772,26,0.09160000000000001
11.08_S10_clean_seed20260722,27,0.6915,0.7808,0.6859,0.8817,27,0.0949000000000001
11.08_S10_clean_seed20260722,28,0.684,0.7921,0.6891,0.8821,28,0.10299999999999998
11.08_S10_clean_seed20260722,29,0.6677,0.8036,0.7009,0.8851,29,0.10270000000000001
11.08_S10_clean_seed20260722,30,0.6698,0.8161,0.7157,0.8887,30,0.10040000000000004
11.08_S10_clean_seed20260722,31,0.6541,0.8278,0.7217,0.89,31,0.10609999999999997
11.08_S10_clean_seed20260722,32,0.6106,0.838,0.7239,0.8906,32,0.11409999999999998
11.08_S10_clean_seed20260722,33,0.5987,0.846,0.7275,0.8921,33,0.11849999999999994
11.08_S10_clean_seed20260722,34,0.5679,0.8515,0.7287,0.8933,34,0.12280000000000002
11.08_S10_clean_seed20260722,35,0.5665,0.8548,0.7349,0.8959,35,0.1199
11.08_S10_clean_seed20260722,36,0.5405,0.8607,0.7398,0.8991,36,0.12090000000000001
11.08_S10_clean_seed20260722,37,0.5422,0.8673,0.7431,0.901,37,0.12419999999999998
11.08_S10_clean_seed20260722,38,0.4945,0.8753,0.7523,0.9046,38,0.123
11.08_S10_clean_seed20260722,39,0.5098,0.8817,0.7579,0.9069,39,0.12380000000000002
11.08_S10_clean_seed20260722,40,0.4931,0.889,0.7707,0.9103,40,0.11829999999999996
11.08_S10_clean_seed20260722,41,0.4534,0.8948,0.7788,0.9132,41,0.11599999999999999
11.08_S10_clean_seed20260722,42,0.4674,0.9002,0.7823,0.9161,42,0.1179
11.08_S10_clean_seed20260722,43,0.4292,0.9053,0.7869,0.9177,43,0.11839999999999995
11.08_S10_clean_seed20260722,44,0.4202,0.9083,0.7886,0.9178,44,0.11970000000000003
11.08_S10_clean_seed20260722,45,0.4188,0.9114,0.7903,0.9169,45,0.12109999999999999
11.08_S10_clean_seed20260722,46,0.3977,0.9144,0.7906,0.917,46,0.12380000000000002
11.08_S10_clean_seed20260722,47,0.3908,0.9185,0.7895,0.9176,46,0.129
11.08_S10_clean_seed20260722,48,0.383,0.9249,0.7942,0.9189,48,0.13070000000000004
11.08_S10_clean_seed20260722,49,0.3629,0.9291,0.8016,0.9206,49,0.12750000000000006
11.08_S10_clean_seed20260722,50,0.3485,0.9311,0.801,0.9212,49,0.1301
11.08_S10_clean_seed20260722,51,0.355,0.9332,0.8071,0.9226,51,0.1261
11.08_S10_clean_seed20260722,52,0.317,0.9348,0.806,0.9221,51,0.12879999999999991
11.08_S10_clean_seed20260722,53,0.3626,0.9369,0.8077,0.9233,53,0.12919999999999998
11.08_S10_clean_seed20260722,54,0.337,0.9386,0.8082,0.9248,54,0.13039999999999996
11.08_S10_clean_seed20260722,55,0.3329,0.9401,0.8033,0.9276,54,0.13680000000000003
11.08_S10_clean_seed20260722,56,0.3158,0.942,0.8017,0.93,54,0.14029999999999998
11.08_S10_clean_seed20260722,57,0.3151,0.9444,0.8054,0.9319,54,0.139
11.08_S10_clean_seed20260722,58,0.2978,0.9456,0.8012,0.9334,54,0.14439999999999997
11.08_S10_clean_seed20260722,59,0.2931,0.9466,0.8026,0.9344,54,0.14400000000000002
11.08_S10_clean_seed20260722,60,0.2989,0.9483,0.8037,0.9338,54,0.14460000000000006
11.08_S10_clean_seed20260722,61,0.2704,0.9491,0.8173,0.9344,61,0.13180000000000003
11.08_S10_clean_seed20260722,62,0.2874,0.9492,0.8186,0.9347,62,0.13060000000000005
11.08_S10_clean_seed20260722,63,0.2871,0.95,0.8259,0.9354,63,0.12409999999999999
11.08_S10_clean_seed20260722,64,0.2703,0.9511,0.8274,0.9362,64,0.12369999999999992
11.08_S10_clean_seed20260722,65,0.2774,0.9521,0.8272,0.9385,64,0.1248999999999999
11.08_S10_clean_seed20260722,66,0.2642,0.9526,0.8317,0.9396,66,0.12090000000000001
11.08_S10_clean_seed20260722,67,0.2574,0.9528,0.8323,0.9396,67,0.12049999999999994
11.08_S10_clean_seed20260722,68,0.2775,0.953,0.8321,0.9388,67,0.12090000000000001
11.08_S10_clean_seed20260722,69,0.2428,0.9528,0.8312,0.938,67,0.12159999999999993
11.08_S10_clean_seed20260722,70,0.2726,0.9528,0.8331,0.9382,70,0.11970000000000003
11.08_S10_clean_seed20260722,71,0.2389,0.9538,0.8351,0.9383,71,0.11870000000000003
11.08_S10_clean_seed20260722,72,0.2266,0.9552,0.835,0.9391,71,0.12020000000000008
11.08_S10_clean_seed20260722,73,0.2295,0.9573,0.8383,0.9403,73,0.119
11.08_S10_clean_seed20260722,74,0.2362,0.9588,0.8373,0.9408,73,0.12149999999999994
11.08_S10_clean_seed20260722,75,0.222,0.9597,0.8386,0.941,75,0.12109999999999999
11.08_S10_clean_seed20260722,76,0.2095,0.9604,0.8401,0.9412,76,0.12030000000000007
11.08_S10_clean_seed20260722,77,0.2397,0.9618,0.8408,0.9413,77,0.121
11.08_S10_clean_seed20260722,78,0.2332,0.9629,0.8435,0.942,78,0.11939999999999995
11.08_S10_clean_seed20260722,79,0.2308,0.9636,0.8434,0.942,78,0.12019999999999997
11.08_S10_clean_seed20260722,80,0.2115,0.9639,0.8426,0.942,78,0.12129999999999996
11.08_S10_clean_seed20260722,81,0.2347,0.9644,0.8423,0.9417,78,0.12209999999999999
11.08_S10_clean_seed20260722,82,0.2264,0.9649,0.8454,0.9421,82,0.11949999999999994
11.08_S10_clean_seed20260722,83,0.2374,0.9658,0.845,0.9423,82,0.12080000000000002
11.08_S10_clean_seed20260722,84,0.2015,0.9666,0.8429,0.9418,82,0.12370000000000003
11.08_S10_clean_seed20260722,85,0.2112,0.9677,0.8421,0.9412,82,0.12560000000000004
11.08_S10_clean_seed20260722,86,0.2098,0.9683,0.8427,0.9417,82,0.12560000000000004
11.08_S10_clean_seed20260722,87,0.2156,0.9688,0.8438,0.9421,82,0.125
